id,time
64,1970-01-01T10:12:53
8,1970-01-01T11:13:14
2,1970-01-01T11:27:46
84,1970-01-01T11:29:34
27,1970-01-01T12:58:03
92,1970-01-01T15:39:00
42,1970-01-01T16:00:52
88,1970-01-01T16:25:02
89,1970-01-01T17:26:50
40,1970-01-01T18:35:21
37,1970-01-01T20:48:37
78,1970-01-01T22:37:47
98,1970-01-01T22:57:16
60,1970-01-02T01:22:38
57,1970-01-02T03:39:44
17,1970-01-02T04:49:38
32,1970-01-02T05:42:26
39,1970-01-02T06:42:07
36,1970-01-02T06:54:41
92,1970-01-02T08:52:13
10,1970-01-02T11:32:23
18,1970-01-02T11:47:13
36,1970-01-02T12:42:13
25,1970-01-02T13:08:40
22,1970-01-02T14:57:06
16,1970-01-02T16:32:33
25,1970-01-02T17:15:28
45,1970-01-02T18:36:56
96,1970-01-02T20:46:54
99,1970-01-02T23:25:31
88,1970-01-03T02:10:07
27,1970-01-03T03:32:44
30,1970-01-03T04:07:25
20,1970-01-03T04:43:58
66,1970-01-03T05:59:55
39,1970-01-03T07:56:46
98,1970-01-03T08:39:55
67,1970-01-03T10:20:59
88,1970-01-03T11:04:25
81,1970-01-03T12:35:50
14,1970-01-03T14:09:46
16,1970-01-03T14:35:28
93,1970-01-03T17:15:39
14,1970-01-03T19:51:14
70,1970-01-03T20:18:57
55,1970-01-03T21:36:56
98,1970-01-03T22:44:14
12,1970-01-04T00:02:49
85,1970-01-04T01:22:58
42,1970-01-04T02:43:35
87,1970-01-04T04:01:23
94,1970-01-04T04:02:32
90,1970-01-04T05:07:00
83,1970-01-04T07:27:40
61,1970-01-04T08:03:38
63,1970-01-04T08:29:05
50,1970-01-04T09:46:23
49,1970-01-04T10:17:25
33,1970-01-04T11:47:38
93,1970-01-04T13:41:37
10,1970-01-04T16:15:51
69,1970-01-04T16:46:34
2,1970-01-04T18:41:14
9,1970-01-04T19:30:05
26,1970-01-04T22:04:20
20,1970-01-04T22:55:18
14,1970-01-05T00:23:21
85,1970-01-05T02:48:36
90,1970-01-05T04:29:13
14,1970-01-05T06:39:52
5,1970-01-05T08:28:31
74,1970-01-05T10:40:27
92,1970-01-05T11:16:45
7,1970-01-05T13:08:07
13,1970-01-05T14:39:39
34,1970-01-05T17:01:29
67,1970-01-05T17:55:37
91,1970-01-05T18:39:02
38,1970-01-05T18:51:18
8,1970-01-05T20:50:26
59,1970-01-05T22:27:25
75,1970-01-06T01:07:41
22,1970-01-06T03:17:08
24,1970-01-06T04:47:32
13,1970-01-06T07:18:51
86,1970-01-06T09:41:32
44,1970-01-06T11:44:58
19,1970-01-06T14:01:28
60,1970-01-06T14:37:44
34,1970-01-06T15:09:52
80,1970-01-06T15:47:01
31,1970-01-06T17:03:15
50,1970-01-06T19:02:04
9,1970-01-06T21:40:38
60,1970-01-06T22:26:21
83,1970-01-06T22:29:24
25,1970-01-07T00:59:48
55,1970-01-07T01:27:32
77,1970-01-07T04:10:48
1,1970-01-07T06:03:42
65,1970-01-07T07:34:31
97,1970-01-07T07:53:54
56,1970-01-07T10:07:41
31,1970-01-07T11:12:01
10,1970-01-07T11:13:33
83,1970-01-07T12:22:49
77,1970-01-07T12:36:48
44,1970-01-07T12:38:40
61,1970-01-07T13:13:04
2,1970-01-07T13:51:58
75,1970-01-07T16:20:48
92,1970-01-07T18:32:30
88,1970-01-07T21:16:32
74,1970-01-07T21:21:16
17,1970-01-07T23:44:59
34,1970-01-08T01:29:15
29,1970-01-08T03:34:29
57,1970-01-08T05:16:08
42,1970-01-08T06:39:51
26,1970-01-08T07:10:11
34,1970-01-08T08:11:34
4,1970-01-08T08:54:11
6,1970-01-08T10:06:53
82,1970-01-08T11:59:09
71,1970-01-08T12:40:36
23,1970-01-08T12:46:49
23,1970-01-08T13:55:15
41,1970-01-08T15:36:51
55,1970-01-08T15:47:24
83,1970-01-08T15:58:38
5,1970-01-08T17:35:44
31,1970-01-08T18:58:07
73,1970-01-08T19:21:24
80,1970-01-08T21:11:45
81,1970-01-08T21:51:10
40,1970-01-08T23:10:16
95,1970-01-09T01:37:03
30,1970-01-09T02:59:46
49,1970-01-09T05:42:27
55,1970-01-09T06:28:56
52,1970-01-09T09:06:23
98,1970-01-09T09:30:18
25,1970-01-09T10:46:07
50,1970-01-09T10:48:21
12,1970-01-09T12:02:48
98,1970-01-09T12:07:54
52,1970-01-09T14:37:21
64,1970-01-09T15:59:36
34,1970-01-09T16:00:39
49,1970-01-09T17:45:45
9,1970-01-09T18:42:29
66,1970-01-09T18:57:58
51,1970-01-09T19:49:34
74,1970-01-09T21:57:42
80,1970-01-09T23:09:57
47,1970-01-10T01:22:39
22,1970-01-10T02:40:26
38,1970-01-10T05:10:58
58,1970-01-10T07:49:56
7,1970-01-10T09:27:44
19,1970-01-10T11:07:32
18,1970-01-10T12:37:24
32,1970-01-10T13:18:57
68,1970-01-10T16:01:57
70,1970-01-10T18:07:44
40,1970-01-10T18:58:12
10,1970-01-10T21:40:19
66,1970-01-11T00:16:44
95,1970-01-11T01:56:23
75,1970-01-11T03:46:13
88,1970-01-11T05:57:03
70,1970-01-11T07:13:14
50,1970-01-11T08:37:10
34,1970-01-11T10:25:49
62,1970-01-11T12:00:42
74,1970-01-11T12:09:52
58,1970-01-11T14:00:31
37,1970-01-11T15:54:37
64,1970-01-11T17:28:50
84,1970-01-11T17:42:56
4,1970-01-11T20:14:34
75,1970-01-11T22:27:41
13,1970-01-11T23:57:01
91,1970-01-12T01:02:40
65,1970-01-12T03:02:14
77,1970-01-12T05:05:16
86,1970-01-12T07:43:40
56,1970-01-12T09:34:41
38,1970-01-12T10:35:01
15,1970-01-12T12:41:02
71,1970-01-12T14:58:38
85,1970-01-12T15:51:21
95,1970-01-12T17:05:03
42,1970-01-12T18:55:46
9,1970-01-12T21:16:59
97,1970-01-12T22:19:04
13,1970-01-12T22:56:58
38,1970-01-13T01:02:00
10,1970-01-13T01:06:30
28,1970-01-13T02:16:40
76,1970-01-13T03:30:05
86,1970-01-13T05:06:36
86,1970-01-13T07:11:49
31,1970-01-13T08:23:17
32,1970-01-13T09:50:43
11,1970-01-13T10:17:57
61,1970-01-13T11:02:18
64,1970-01-13T12:00:14
13,1970-01-13T12:54:49
85,1970-01-13T13:07:13
77,1970-01-13T13:41:06
80,1970-01-13T14:47:22
69,1970-01-13T15:53:46
8,1970-01-13T17:36:20
56,1970-01-13T19:45:40
30,1970-01-13T22:25:46
55,1970-01-13T23:30:26
62,1970-01-14T01:08:42
34,1970-01-14T03:46:09
60,1970-01-14T04:36:03
52,1970-01-14T05:45:15
28,1970-01-14T08:06:02
55,1970-01-14T08:14:47
96,1970-01-14T09:39:45
4,1970-01-14T11:18:24
10,1970-01-14T13:47:55
7,1970-01-14T15:49:25
92,1970-01-14T17:34:39
27,1970-01-14T17:34:49
57,1970-01-14T17:59:26
53,1970-01-14T20:23:43
27,1970-01-14T21:23:31
82,1970-01-14T22:31:05
58,1970-01-14T23:20:54
37,1970-01-14T23:56:41
99,1970-01-15T00:09:26
91,1970-01-15T00:35:06
52,1970-01-15T00:55:28
1,1970-01-15T01:47:27
87,1970-01-15T03:55:48
46,1970-01-15T04:32:59
87,1970-01-15T06:54:57
6,1970-01-15T07:58:47
20,1970-01-15T09:47:42
91,1970-01-15T10:42:57
57,1970-01-15T12:31:10
