department,count,latest,earliest
XeY,2,1970-02-15T11:46:45,1970-02-02T20:29:53
gBy,3,1970-02-16T09:50:18,1970-01-04T04:09:24
FnI,4,1970-02-20T20:07:47,1970-01-16T19:50:17
o0c,4,1970-02-28T02:37:28,1970-01-01T23:53:03
PGC,5,1970-02-21T00:02:29,1970-01-10T00:26:13
0WO,6,1970-02-24T00:52:39,1970-01-04T13:09:52
Dum,6,1970-02-27T16:08:12,1970-01-04T17:57:46
Hma,6,1970-02-17T22:47:10,1970-01-10T07:42:51
TtX,6,1970-02-26T20:19:34,1970-01-11T23:20:38
cAQ,6,1970-02-14T05:28:24,1970-01-05T00:32:07
ceO,6,1970-01-31T23:00:56,1970-01-05T08:47:01
onH,6,1970-02-22T21:13:35,1970-01-12T13:03:54
Jwm,7,1970-02-15T20:00:13,1970-01-14T16:20:44
LBM,7,1970-02-28T05:17:56,1970-01-16T19:05:04
NRr,7,1970-02-22T19:46:34,1970-01-28T17:02:13
eMU,7,1970-02-20T21:32:58,1970-01-04T05:55:08
jcg,7,1970-02-25T15:53:34,1970-01-16T19:58:57
nWn,7,1970-02-18T04:57:21,1970-01-02T05:49:10
vQ3,7,1970-02-22T08:25:42,1970-01-11T09:05:41
zxp,7,1970-02-19T13:05:49,1970-01-02T05:34:00
2x2,8,1970-02-26T16:42:46,1970-01-07T22:37:01
7OZ,8,1970-02-07T17:59:31,1970-01-05T02:32:20
DYf,8,1970-02-24T21:32:46,1970-01-02T15:12:10
Eru,8,1970-02-26T03:30:38,1970-01-04T22:22:48
FnC,8,1970-02-27T14:24:45,1970-01-09T01:50:33
Hi4,8,1970-02-27T02:07:45,1970-01-03T12:31:17
Nm7,8,1970-02-10T06:03:53,1970-01-19T08:17:11
Nql,8,1970-02-17T05:55:03,1970-01-20T09:52:56
QAv,8,1970-02-26T09:52:18,1970-01-02T19:12:59
RZJ,8,1970-02-28T17:07:52,1970-01-05T10:03:56
eKD,8,1970-02-26T14:16:07,1970-01-15T08:55:59
oUo,8,1970-02-28T06:58:12,1970-01-08T12:56:57
tIM,8,1970-02-19T23:58:38,1970-01-02T23:49:04
v1M,8,1970-02-17T14:36:03,1970-01-01T17:21:51
1eS,9,1970-02-16T15:26:14,1970-01-02T16:44:07
4I3,9,1970-02-24T11:22:33,1970-01-10T08:25:35
TCy,9,1970-02-20T17:27:10,1970-01-11T01:17:27
Ue2,9,1970-02-27T21:47:55,1970-01-14T14:41:55
iXg,9,1970-02-15T15:16:12,1970-01-04T15:56:40
jfz,9,1970-02-16T00:31:03,1970-01-02T04:38:37
pFk,9,1970-02-12T17:10:40,1970-01-12T05:45:32
rMH,9,1970-02-22T04:04:28,1970-01-04T23:55:36
uEZ,9,1970-02-25T05:45:11,1970-01-02T02:13:25
5cP,10,1970-02-19T18:50:59,1970-01-06T09:21:48
A3N,10,1970-02-24T23:31:09,1970-01-10T23:32:41
BB7,10,1970-02-27T23:22:44,1970-01-12T04:16:05
H1q,10,1970-02-24T04:53:12,1970-01-18T13:26:28
KN2,10,1970-02-28T10:04:14,1970-01-01T21:08:43
VjE,10,1970-02-23T21:07:23,1970-01-06T21:38:38
exb,10,1970-02-26T01:30:33,1970-01-03T21:57:15
mfi,10,1970-02-28T15:32:56,1970-01-02T07:15:51
rXe,10,1970-02-25T04:18:59,1970-01-01T13:25:55
rsC,10,1970-02-23T00:43:37,1970-01-05T06:08:43
0Mw,11,1970-02-23T11:31:11,1970-01-12T08:12:07
8k1,11,1970-02-27T21:03:47,1970-01-04T20:24:44
AhK,11,1970-02-24T12:35:12,1970-01-06T01:22:59
KID,11,1970-02-22T12:29:31,1970-01-03T08:18:54
QHX,11,1970-02-27T05:41:16,1970-01-02T12:13:51
SR9,11,1970-02-25T22:31:19,1970-01-09T04:19:45
Uex,11,1970-02-19T21:36:32,1970-01-11T16:45:17
XKD,11,1970-02-26T03:28:00,1970-01-05T16:02:59
bI0,11,1970-02-23T17:02:18,1970-01-01T12:21:56
jPb,11,1970-02-20T02:03:03,1970-01-04T21:57:54
kCq,11,1970-02-25T17:54:23,1970-01-05T05:03:00
p6S,11,1970-02-12T06:38:21,1970-01-03T23:35:06
39C,12,1970-02-27T07:46:25,1970-01-01T18:27:40
3gO,12,1970-02-21T14:57:05,1970-01-07T02:44:09
9b5,12,1970-02-25T09:19:36,1970-01-03T20:55:57
BAa,12,1970-02-28T08:29:02,1970-01-02T05:37:15
FPZ,12,1970-02-27T12:06:06,1970-01-02T11:21:34
Jr8,12,1970-02-24T16:35:54,1970-01-07T19:56:25
Vfg,12,1970-02-27T21:43:46,1970-01-03T04:00:42
WuR,12,1970-02-21T04:57:47,1970-01-03T18:30:29
fgZ,12,1970-02-26T12:06:40,1970-01-02T09:15:43
gK3,12,1970-02-25T20:48:10,1970-01-07T18:01:34
k4b,12,1970-02-28T11:09:21,1970-01-02T01:57:12
lB5,12,1970-02-25T00:27:59,1970-01-05T15:43:04
qr8,12,1970-02-26T08:55:54,1970-01-03T06:40:42
wO4,12,1970-02-27T01:23:44,1970-01-07T15:14:46
08J,13,1970-02-25T01:34:25,1970-01-01T09:46:10
0uL,13,1970-02-24T16:29:14,1970-01-03T18:16:49
3O5,13,1970-02-22T10:28:58,1970-01-05T14:08:00
5me,13,1970-02-19T14:12:40,1970-01-02T21:48:42
H2l,13,1970-02-23T23:12:26,1970-01-02T03:44:58
JaG,13,1970-02-27T21:59:42,1970-01-05T21:24:20
YwH,13,1970-02-28T03:03:16,1970-01-05T14:28:21
aRk,13,1970-02-26T18:43:34,1970-01-06T07:18:24
p9I,13,1970-02-27T03:13:12,1970-01-08T08:31:46
uqa,13,1970-02-21T02:48:43,1970-01-03T02:09:05
yqb,13,1970-02-26T03:54:54,1970-01-04T07:12:44
POW,14,1970-02-27T17:46:41,1970-01-07T05:57:56
VYr,14,1970-02-24T07:02:54,1970-01-01T09:09:40
fnt,14,1970-02-27T20:27:57,1970-01-02T22:46:07
pUV,15,1970-02-20T15:40:20,1970-01-03T17:43:31
YlS,17,1970-02-22T05:56:18,1970-01-02T09:09:01
7nC,18,1970-02-26T00:15:39,1970-01-03T17:19:32
JPr,18,1970-02-20T15:08:15,1970-01-03T15:43:35
o4q,18,1970-02-28T12:56:24,1970-01-01T13:46:19
xhH,20,1970-02-18T20:54:29,1970-01-01T15:11:36
